128x128

(8, 4, 1) 23.39248
(1, 2, 1) 13.2940845
(1, 8, 2) 16.4597155
(2, 1, 1) 4.8809535
(4, 4, 1) 15.135152999999999
(8, 2, 2) 17.6797665
(1, 8, 8) 15.1120605
(8, 8, 8) 37.6967805
(2, 8, 8) 13.9011235
(4, 8, 2) 27.594198
(2, 8, 2) 16.2391275
(4, 1, 1) 5.0404985
(1, 4, 2) 11.342272
(1, 8, 1) 20.984325
(4, 8, 1) 24.582074499999997
(8, 1, 1) 10.225086999999998
(2, 4, 1) 9.540804000000001
(4, 4, 4) 14.6780175
(8, 8, 1) 37.987494
(1, 1, 1) 11.524662
(2, 2, 2) 6.835622
(4, 8, 4) 26.171152
(4, 8, 8) 22.6551355
(2, 2, 1) 7.448052000000001
(2, 8, 4) 15.559897499999998
(1, 4, 1) 14.9660995
(1, 8, 4) 15.860854
(4, 2, 1) 12.572482
(2, 4, 2) 8.937733
(4, 2, 2) 12.6698345
(1, 2, 2) 9.6996235
(8, 2, 1) 17.963633
(8, 8, 4) 42.73078700000001
(1, 4, 4) 10.590198000000001
(8, 4, 4) 22.6800205
(8, 4, 2) 24.9937895
(4, 4, 2) 16.230594
(2, 4, 4) 9.2424555
(2, 8, 1) 14.9822575
(8, 8, 2) 44.650179
