2015-01-16 21:22:50 INFO : (int main(int, char**) 123) - Overwriting config variable parallel.maxthreads with 4
2015-01-16 21:22:50 INFO : (int main(int, char**) 125) - 4
2015-01-16 21:22:50 INFO : (int main(int, char**) 123) - Overwriting config variable parallel.transform.threads with 4
2015-01-16 21:22:50 INFO : (int main(int, char**) 125) - 4
2015-01-16 21:22:50 INFO : (void io::formatted_input<format>::from_file(int) [with format = io::formats::two_d::netcdf] 108) - Inputting from file input/input_07.cdf...
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable x not found in file
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable z not found in file
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable u not found in file
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable w not found in file
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable P not found in file
2015-01-16 21:22:50 INFO : (int main(int, char**) 150) - element.version < 0.6.0.0
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.000415625
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.000113906
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 13
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.000529531
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 14
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.000643438
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.000170859
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 15
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.000814297
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 16
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.000985156
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.000256289
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 17
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.00124145
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 18
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.00149773
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.000384434
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 19
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.00188217
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 20
2015-01-16 21:22:50 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_t_07.cdf...
2015-01-16 21:22:50 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_07.cdf...
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.0022666
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.00057665
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 21
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.00284325
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 22
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.0034199
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.000864976
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 23
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.00428488
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 24
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.00514985
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.00129746
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 25
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.00644732
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 26
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.00774478
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.0019462
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 27
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.00969098
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 28
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.0116372
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.00291929
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 29
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.0145565
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 30
2015-01-16 21:22:50 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_t_07.cdf...
2015-01-16 21:22:50 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_07.cdf...
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.0174758
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.00437894
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 31
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.0218547
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 32
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.0262336
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.00656841
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 33
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.032802
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 34
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.0393705
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.00985261
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 35
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.0492231
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 36
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.0590757
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 0.0147789
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 37
2015-01-16 21:22:51 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.0738546
