0 -1 2.77556e-17 -3.46164e-19 
1 -0.997587 0.000611966 -7.62465e-06 
2 -0.990369 0.00244244 -3.04588e-05 
3 -0.978418 0.00547777 -6.85124e-05 
4 -0.961848 0.00970383 -0.000122219 
5 -0.940818 0.0151175 -0.000193004 
6 -0.915531 0.0217404 -0.000283966 
7 -0.886231 0.0296309 -0.000400598 
8 -0.8532 0.0388938 -0.000551406 
9 -0.816755 0.0496805 -0.000748311 
10 -0.777249 0.0621807 -0.00100662 
11 -0.73506 0.0766012 -0.00134428 
12 -0.690597 0.0931346 -0.0017802 
13 -0.644286 0.11192 -0.00233128 
14 -0.596574 0.133 -0.00300831 
15 -0.54792 0.156288 -0.00381125 
16 -0.498793 0.181538 -0.00472472 
17 -0.449666 0.20834 -0.00571522 
18 -0.401013 0.236138 -0.00673135 
19 -0.353301 0.264257 -0.00770789 
20 -0.30699 0.291962 -0.0085737 
21 -0.262526 0.318518 -0.00926217 
22 -0.220338 0.343253 -0.00972219 
23 -0.180831 0.365618 -0.00992716 
24 -0.144387 0.38523 -0.00987967 
25 -0.111355 0.401888 -0.00961111 
26 -0.0820551 0.415573 -0.00917601 
27 -0.0567684 0.426422 -0.00864353 
28 -0.0357386 0.434683 -0.00808675 
29 -0.0191683 0.440661 -0.00757589 
30 -0.0072171 0.444664 -0.00716298 
31 1.66533e-16 0.446946 -0.00683844 
32 0.00241345 0.447664 -0.00654993 
